id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
395,2782,Bricks American Bulldogs,2006 6th Avenue,,PA,,BEAVER,,04034,Closed - Voluntarily,2019,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2782,2025-12-18 14:57:22,2025-12-18 14:57:22
396,15070,"Canine Kingdom, LLC",723 State Ave,,PA,,BEAVER,Vanport,16220,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15070,2025-12-18 14:57:23,2025-12-18 14:57:23
397,18487,Chow Chow Network of PA,186 Taggert Road,,PA,,BEAVER,Darlington,18621,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18487,2025-12-18 14:57:23,2025-12-18 14:57:23
398,18301,Champion Canine,2922 Duss Avenue,,PA,,BEAVER,Harmony,18436,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18301,2025-12-18 14:57:23,2025-12-18 14:57:23
399,2538,Cold Noses,970 Wallace Run Road,,PA,,BEAVER,Darlington,03762,Closed - Voluntarily,2018,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2538,2025-12-18 14:57:23,2025-12-18 14:57:23
400,17631,Darlington Paws LLC,970 Wallace Run Rd.,,PA,,BEAVER,Darlington,17767,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17631,2025-12-18 14:57:24,2025-12-18 14:57:24
401,150,Davane,183 Salem Church Road,,PA,,BEAVER,Aliquippa,01153,Closed - Voluntarily,2022,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/150,2025-12-18 14:57:24,2025-12-18 14:57:24
402,18645,Doggyland Resort,236 Pleasant Drive,,PA,,BEAVER,Center,18779,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18645,2025-12-18 14:57:24,2025-12-18 14:57:24
403,7137,Distinguished Dobermans Rescue Inc,215 Harshaville Road,,PA,,BEAVER,Hanover,08361,Closed - Voluntarily,2023,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/7137,2025-12-18 14:57:25,2025-12-18 14:57:25
404,6092,"Gentle Ben's Giant Breed Rescue",805 Hartzell School Rd,,PA,,BEAVER,New Sewickley,07332,Closed - Voluntarily,2018,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/6092,2025-12-18 14:57:25,2025-12-18 14:57:25
405,17618,Golden Wood Pet Resort,4433 PA-151,,PA,,BEAVER,Hanover,17754,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17618,2025-12-18 14:57:25,2025-12-18 14:57:25
